theme_name,set_name,prod_long_desc,list_price,piece_count,ages,review_difficulty
Star Wars™,Death Star™,"Reenact amazing scenes from the Star Wars saga with the Empire’s ultimate planet-zapping weapon—the Death Star! With over 4,000 pieces, this fantastic model has a galaxy of intricate and authentic environments, including a superlaser control room, Imperial conference chamber, hangar bay with moving launch rack and Lord Vader’s TIE Advanced with space for Vader inside, Emperor Palpatine’s throne room, Droid maintenance room, detention block, trash compactor, tractor beam, cargo area, turbo laser with spring-loaded shooters and seats for the 2 Death Star Gunners, and 2 movable turbo laser towers. This fantastic set also includes 23 iconic minifigures and 2 Droids to ensure hours of Star Wars battle fun.
Build the giant, super-detailed ultimate battle station of the evil Empire
Includes key locations and features from Star Wars: Episode IV A New Hope and Star Wars: Episode VI Return of the Jedi
Includes 23 minifigures: Grand Moff Tarkin, Darth Vader, Emperor Palpatine, Imperial Navy Officer, Imperial Officer, 2 Stormtroopers, 2 Death Star Troopers, 2 Emperor’s Royal Guards, 2 Death Star Gunners, Death Star Droid, Obi-Wan Kenobi, Chewbacca, Princess Leia, C-3PO, Han Solo (disguised), Luke Skywalker (Tatooine), Luke Skywalker (disguised) and Luke Skywalker (Final Duel), plus R2-D2, an Imperial Astromech and a buildable Dianoga trash compactor monster
LEGO Star Wars building toys are compatible with all LEGO construction sets for creative building
Measures over 16” high and 16” wide
4,016 pieces – For boys and girls 14 years and older",499.99,4016.0,14+,Challenging
Disney™,The Disney Castle,"Bring the magical world of Disney to your home with The Disney Castle. This highly detailed LEGO® model with over 4,000 pieces offers a rewarding build and play experience, and comes with an array of exciting Disney-themed features and functions. The intricately detailed facade and towers replicate the iconic Walt Disney World® Resort Cinderella Castle, and each accessible castle room includes special features inspired by some of Disney’s greatest animated feature films, providing endless play possibilities with the included minifigures: Mickey Mouse, Minnie Mouse, Donald Duck, Daisy Duck and Tinker Bell, or other characters from your collection.
Includes 5 minifigures: Mickey Mouse with a tuxedo, Minnie Mouse with red dress, Donald Duck with classic outfit, Daisy Duck with pink skirt, lavender colored shoes and a bow, and Tinker Bell with wig element, skirt, wings and a magic wand.
The Disney Castle features a detailed facade with a stone bridge, clock, wide arched entrance, ornate balconies, spired towers, plus a four-story main building and a five-story, golden-spired main tower, both containing rooms with assorted Disney-inspired features and elements.
Castle main building first floor features the main hall with large arched doorway, mosaic floor tiling, ornate chandelier, suits of armor, shield-decorated walls, grandfather clock, floor-standing vase with buildable flower elements, magic carpet and a golden lamp.
Castle main building second-floor room features buildable dark-blue curtains with curtain pole, ornate buildable candelabra and rose, and glass case elements.
Castle main building third-floor room features a chest with book of spells, mop and bucket elements, and access to the main tower second-floor room.
Castle main building fourth-floor bedroom features a detailed bed with decorative golden headboard elements.
Main tower first-floor kitchen features a large redbrick-patterned stove, workbench, buildable broom and pumpkin, plus pots, pans and assorted kitchen and food elements.
Main tower second-floor room includes a spinning wheel and access to the castle main building third-floor room.
Main tower third-floor room features a chest containing brush, scissor and lock of black hair elements, plus a balcony with 2 stud shooters for a firework-display function.
Main tower fourth-floor room features a golden mirror, plus red apple and glass vase elements.
Main tower fifth-floor room features a window bench and an arched window.
Also includes 2 frogs and a golden crown element.
Remove part of the roof section to discover the glass slipper element and fairy-tale book element with printed cover.
Launch the fireworks and let the magic begin!
Combine with other LEGO® minifigure characters for endless adventures!
This set offers an age-appropriate building experience for ages 16 and over.
This set includes over 4,000 LEGO® pieces.
The Disney Castle measures over 29” (74cm) high, 18.8” (48cm) wide and 12” (31cm) deep.",349.99,4080.0,14+,Challenging
Disney™,Silent Mary,"Bring the magic of Disney’s Pirates of the Caribbean to your home with this impressive replica of the Silent Mary ghost ship. This highly detailed LEGO® model with over 2,200 pieces features a hinged bow section, opening skeleton hull with decay and destruction detailing, movable rudder, collapsible main mast and two further masts, long bowsprit with crow’s nest and mast, tattered sails, detailed quarterdeck, plus a rowboat with two oars and an array of weapons and accessory elements. This model provides a rewarding build and play experience, and the integrated stand makes it suitable for display in the home or office. Also includes eight minifigures: Captain Jack Sparrow, Henry, Carina, Lieutenant Lesaro, Captain Salazar, Officer Magda, Officer Santos and the Silent Mary Masthead, plus two detachable ghost sharks.
Includes eight minifigures: Captain Jack Sparrow, Henry, Carina, Lieutenant Lesaro, Captain Salazar, Officer Magda, Officer Santos and the Silent Mary Masthead, plus two detachable ghost sharks.
Features a hinged bow section, opening skeleton hull with decay and destruction detailing, movable rudder, three masts including a collapsible main mast, long bowsprit with crow’s nest and mast, tattered sails, detailed quarterdeck, plus a rowboat with two oars.
Weapons include two gray swords, three black swords and a pistol.
Also includes the Silent Mary Masthead’s shield and sword elements.
Accessory elements include a compass, sextant, monocular, two brooms and a ship-in-a-bottle.
Special elements include Captain Salazar’s hairpiece and a decorated Galileo Diary with printed cover and astronomy page.
Raise the hinged bow section and open the skeleton hull to switch from sailing mode to attack mode.
Open the mid-hull section to access and release the ghost sharks.
This set includes over 2,200 pieces.
The Silent Mary with the main mast in vertical position measures over 18” (48cm) high, 26” (68cm) long and 8” (22cm) wide, and over 14” (36cm) wide with the main mast collapsed.",199.99,2294.0,14+,Average
Star Wars™,Kessel Run Millennium Falcon™,"Travel with Han Solo, Chewbacca and their friends with the LEGO® Star Wars Kessel Run Millennium Falcon. This LEGO brick version of the iconic Corellian freighter from the Han Solo movie features a 2-minifigure cockpit with detachable canopy, 2 spring-loaded shooters, sensor dish, ramp, rotating top and bottom laser turrets with 2 gunner seats, plus a detachable escape craft. This amazing Star Wars toy also features opening hull plates for easy access to the detailed interior, which includes a cargo area with couch and Dejarik hologame table, bar, bunk, missile storage compartment, and a buildable hyperdrive with repair tools. Also includes 6 minifigures and a DD-BD droid.
Includes 6 minifigures: Han Solo, Chewbacca, Qi’ra, Lando Calrissian, Quay Tolsite and a Kessel Operations Droid, plus a DD-BD droid.
Features a 2-minifigure cockpit with detachable canopy, 2 spring-loaded shooters, sensor dish, ramp, rotating top and bottom laser turrets with 2 minifigure gunner seats, detachable escape craft and opening hull plates for easy access to the detailed interior.
Interior includes a cargo area with 2 containers, navigation computer, couch and Dejarik hologame table, a bar, bunk, missile storage compartment, and a hyperdrive with repair tools.
Weapons include 2 blaster pistols, a blaster rifle and Lando’s blaster.
Also includes electrobinoculars.
Open up the hull plates and play out adventures from the Han Solo movie inside.
Play Chewbacca at Dejarik… but remember he's a sore loser!
This LEGO® Star Wars toy is suitable for ages 9-14.
Measures over 4” (11cm) high, 18” (48cm) long and 11” (30cm) wide.",169.99,1413.0,7-14,Average
Marvel Super Heroes,The Hulkbuster: Ultron Edition,"Build and display this superhero toy—a highly detailed LEGO® brick version of the Hulkbuster mech, featuring a rotating torso, posable fingers, arms, legs and feet, and glow-in-the-dark elements. Choose from 2 interchangeable left arms, including a jackhammer arm with punching function, and activate the LEGO light brick in the chest. This LEGO Marvel Super Heroes The Hulkbuster: Ultron Edition set also includes a display platform with alternate attachment points for posable robotic construction arms and a desk, plus a new-for-March-2018 Iron Man Mark 43 minifigure.
Includes a new-for-March-2018 Iron Man Mark 43 minifigure.
Hulkbuster features a flip-up head, rotating torso, posable fingers, arms, legs and feet, LEGO® light brick in the chest, 2 interchangeable left arms—a standard arm or jackhammer arm with punching function and 12 glow-in-the-dark elements.
Activate the chest light by pressing the button on the Hulkbuster's back.
Platform features a flip-up Hulkbuster information plate, plus 8 alternative attachment points for 2 posable robotic construction arms and a desk with 2 attached computer screen elements and space for the buildable hotrod car and buildable Veronica satellite.
Clip the spare Hulkbuster arm to either of the robotic construction arms for neat display.
Also includes a fire extinguisher element.
This superhero toy is suitable for ages 14+.
Hulkbuster measures over 9” (25cm) high, 3” (10cm) long and 8” (22cm) wide.
Platform (without attachable arms/desk) measures over 7” (19cm) wide, 8” (21cm) deep and under 1” (2cm) high.",119.99,1363.0,14+,Average
Marvel Super Heroes,Sanctum Sanctorum Showdown,"Stage a LEGO® Marvel Super Heroes 76108 Sanctum Sanctorum Showdown between Iron Spider-Man, Iron Man and Doctor Strange and the super villains. This all-action set features a foldable, 3-level New York City building including Doctor Strange’s Sanctum Sanctorum, with an exploding wall function and hidden Infinity Stone element, plus a pizzeria and Peter Parker's apartment, both with exploding window functions. The rooftop has a minifigure-launch function and a water tower with minifigure-winch function for Iron Spider-Man. This superhero toy also includes a detachable street corner scene, plus 4 minifigures and a big figure with weapons and 20 Power Burst elements.
Includes 4 minifigures: Iron Spider-Man, Iron Man, Doctor Strange and Ebony Maw, plus a Cull Obsidian big figure.
This set features a 3-level New York City building including the Sanctum Sanctorum, pizzeria, Peter Parker’s apartment, 2 fire escapes, rooftop water tower, plus a detachable street corner scene.
Fold the building in or out and attach the street corner in different places for alternative formations.
Sanctum Sanctorum features an entrance hall with an opening door, weapon rack with an axe and sword, and an armchair; library with an exploding wall function, hidden Infinity Stone element and stand, bookshelves, opening chest with 2 daggers inside and weapon rack with a staff and spear; and Doctor Strange’s top-floor office with a new-for-March-2018 decorated Sanctum Sanctorum window, desk, bookshelves and buildable candlestick.
Explode the wall to reveal the Infinity Stone.
Peter Parker's apartment features an office with a desk and assorted elements including a computer, lamp and boxes, and a bedroom with a trapdoor function, exploding window function, bed and pizza element.
Explode the window to reveal the spider web on the building wall.
Pizzeria features an opening door, exploding window function, pizza oven, buildable shawarma and assorted elements including a pizza, pizza peel and fire extinguisher.
Rooftop features a minifigure-launch function and water tower with winch function to send Iron Spider-Man in and out of battle on a ‘spider web string’.
Street corner features a newspaper stand with newspaper elements, trash can and assorted elements including a spider web with Iron Spider-Man’s cell phone and a pizza slice.
The new-for-March-2018 Cull Obsidian big figure comes with 2 buildable hammers.
Weapons include Iron Spider-Man's Power Blast and Ebony Maw's Power Blast.
Iron Spider-Man comes with a backplate with 4 leg elements.
Also includes 10 assorted translucent-blue and 10 assorted translucent-orange Power Burst elements to customize your builds and minifigures.
The Iron Man, Iron Spider-Man and Ebony Maw minifigures are new for March 2018.
Recreate thrilling scenes from the Marvel Super Heroes Avengers: Infinity War movie.
Measures over 11” (30cm) high, 7” (20cm) wide and 8” (21cm) deep.",99.99,1004.0,7-14,Average
Disney™,Elsa's Magical Ice Palace,"Build a grand and glittering Ice Palace for Elsa and feel the magic and adventure with the special sliding bridge and revolving staircase functions. There’s so much detail inside and out to help recreate scenes from Disney’s Frozen and Frozen Fever, or to create new and exciting stories with these much-loved characters. Includes Elsa and Anna mini-dolls plus Olaf, Marshmallow and four Snowgies.
LEGO Disney Frozen building toys are compatible with all LEGO construction sets for creative building
Elsa's Magical Ice Palace measures over 12” high, 11” wide and 7” deep. Playground with snow fort measures over 2” high, 7” wide and 1” deep. Sleigh with carriages measures over 4” long, 1” wide and under 1” high
701 pieces – For boys and girls between the ages of 5 and 12 years old",79.99,701.0,5-12,Average
Star Wars™,Imperial TIE Fighter™,"Engage the enemy with the LEGO® Star Wars Imperial TIE Fighter! This brick-built version of the Empire’s iconic attack craft has a highly detailed design, including sturdy wings, opening minifigure cockpit and access hatch, and 2 spring-loaded shooters. This great Star Wars toy also includes 4 minifigures, including Han Solo and his accomplice Tobias Beckett.
Includes 4 minifigures: an Imperial Pilot, Han Solo, Tobias Beckett (in Mimban Stormtrooper disguise) and a Mimban Stormtrooper.
Features a highly detailed design including sturdy wings, opening minifigure cockpit and access hatch, plus 2 spring-loaded shooters.
Weapons include a blaster pistol, blaster, blaster rifle and Tobias Beckett's 2 special blasters.
Recreate epic Han Solo movie action scenes or dream up your own.
This LEGO® Star Wars toy is suitable for ages 9-14.
Measures over 9” (23cm) high, 7” (20cm) long and 7” (19cm) wide.",69.99,519.0,7-14,Average
Disney™,Cinderella's Dream Castle,"LEGO® l Disney Cinderella’s Dream Castle is the ultimate set to play out your fairytales, whether recreating scenes from Disney’s Cinderella or creating new stories of your own. With a grand dining room, bedroom, dressing area, kitchen, fireplace and balcony, there's so much to explore and hidden secrets to discover in this popular toy for kids. Get creative using the modular design to easily move and swap sections within the model, or rearrange the rooms of the castle and integrate them with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus a foal and 2 mice figures.
Includes Cinderella and Prince Charming mini-doll figures, plus a foal and 2 mice figures.
Features a modular 3-story castle, pumpkin patch, horse jump, and a cart that can be pulled by the foal.
Castle features a dining area with table and chairs, bedroom with opening secret compartment in the bed, turning fireplace with secret hiding place, balcony with revolving dancefloor, kitchen, dressing area with vanity, and a lounge area with chaise longue.
Accessory elements include a glass slipper tile, opening book, invitation tile, perfume bottles, jewel, hairbrush, hair bows, croissants, cookies, cheese, pumpkins, water bottle, cooking pot, pan and glasses.
Customize the set by easily swapping and rearranging internal features such as the throne, stove, vanity and bench.
Move and rearrange the rooms to create a new castle every time, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate scenes from Disney's Cinderella with these much-loved characters, or create new role-play stories of your own.
Help Cinderella and Prince Charming dance all night on the revolving dancefloor, then head to the kitchen to wash the dishes.
Take care of the foal and attach the cart to help him pull it along!
This popular toy for kids is suitable for ages 6-12.
Cinderella's Dream Castle measures over 13” (34cm) high, 9” (25cm) wide and 4” (12cm) deep.
Cart (without horse) measures over 1” (4cm) high, 3” (9cm) long and 1” (5cm) wide.",69.99,585.0,5-12,Challenging
Marvel Super Heroes,Thanos: Ultimate Battle,"Fly into conflict on an uncharted planet aboard The Guardians’ Ship with Iron Man, Star-Lord and Gamora in this LEGO® Marvel Super Heroes 76107 Thanos: Ultimate Battle set. The Guardians’ Ship features an opening cockpit for 2 minifigures seated on the space scooter, stud shooters, plus an opening rear compartment with capacity for 2 minifigures and the Infinity Gauntlet and stand. The Infinity Gauntlet, which has attachment points for the included Infinity Stone and other collectable Infinity Stone elements, can be attached to the Thanos big figure. This exciting set features 3 minifigures with assorted weapons and 10 Power Burst elements.
Includes 3 minifigures: Iron Man, Star-Lord and Gamora, plus a Thanos big figure.
The Guardians’ Ship features an opening cockpit for the space scooter (and 2 minifigures sitting on the scooter), flip-up windshield, opening rear compartment with 2 minifigure seats, removable roof and space for the Infinity Gauntlet and stand, 2 stud shooters, adjustable wings and a connection point for the escape pod (featured in 76102 Thor's Weapon Quest).
Space scooter features 2 minifigure seats, attachment points for Star-Lord and Gamora’s weapons, and a detachable sword.
Thanos big figure comes with a gold-colored Infinity Gauntlet (with attachment points for the included Infinity Stone and 5 other collectable Infinity Stone elements), gauntlet stand and a sword.
Replace Thanos' left hand with the Infinity Gauntlet.
Weapons include Star-Lord's 2 laser guns and Gamora's sword.
Also includes 10 assorted translucent-blue Power Burst elements to customize your builds and minifigures.
Recreate thrilling scenes from the Marvel Super Heroes Avengers: Infinity War movie.
The Guardians’ Ship measures over 3” (9cm) high, 8” (22cm) long and 18” (46cm) wide.
Space scooter measures over 1” (5cm) high, 1” (5cm) long and under 1” (2cm) wide.
Infinity Gauntlet and stand measure over 1” (4cm) high, 1” (3cm) wide and 1” (3cm) deep.",69.99,674.0,7-14,Average
Marvel Super Heroes,Hulk vs. Red Hulk,"Pitch Team Hulk against Team Red Hulk in this sturdy LEGO® Marvel Super Heroes set. Fit the characters onto their tough vehicles and crash them into each other to send the big figures flying into battle. For even more fun battle action, fire the vehicle-mounted twin stud shooters and 6-stud shooter. Includes 2 minifigures and 2 big figures.
Build a fun and power-packed showdown between Team Hulk and Team Red Hulk, with giant muscle cars that launch the Hulks into action when they smash into each other!
Vehicles feature jumping Hulk functions, big rolling wheels, stud-shooting blasters, and more!
Includes Hulk and Red Hulk big figures, and She-Hulk and Red She-Hulk minifigures
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
Team Hulk vehicle is over 5” high, 7” long, and 4” wide. Team Red Hulk vehicle is over 2” high, 7” long, and 5” wide
375 pieces – For boys and girls between the ages of 7 and 14 years old",59.99,375.0,7-14,Easy
Marvel Super Heroes,Thor vs. Hulk: Arena Clash,"Role-play an arena duel between Thor and Hulk and then team up with these two old friends to topple Grandmaster. This awesome LEGO® Marvel Super Heroes Thor vs. Hulk: Arena Clash set features an arena with a sliding gate, secret weapons rack, 2 toppling pillars, smash-function wall and an opening prison cell. Use Thor’s super jumper to knock Grandmaster off his throne and Loki off his seat. Includes 4 minifigures plus a Hulk big figure with assorted weapons and accessories to intensify the action play.
Build the Grandmaster’s arena and stage an epic super hero showdown!
As featured in the Thor: Ragnarok movie
Includes Thor, Loki, Grandmaster and Sakaarian Guard minifigures, plus a Hulk big figure
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
The arena is over 7” high, 15” wide and 2” deep when opened
492 pieces – For LEGO fans between the ages of 7 and 14 years old",59.99,492.0,7-14,Average
Marvel Super Heroes,The Ultimate Battle for Asgard,"Fly the Commodore spaceship and team up with Thor, Bruce Banner and Valkyrie to take on Hela, her Berserkers and the Fenris wolf in this exciting LEGO® Marvel Super Heroes The Ultimate Battle for Asgard set. The Commodore has 2 dual stud shooters and a minifigure-drop function, while the buildable Fenris wolf figure features posable joints for different battle poses. Includes 6 minifigures with assorted weapons such as Thor and Hela’s firing Power Blasts to intensify the role-play action.
Build the Commodore spaceship and fight Hela & Fenris for the future of Asgard!
As featured in the Thor: Ragnarok movie
Includes Thor, Bruce Banner, Valkyrie, Hela & 2 Berserker minifigures, plus a buildable Fenris wolf figure
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
The Commodore is over 1” high, 8” long and 7” wide. Fenris is 3” high, 6” long and 2” wide
400 pieces – For LEGO fans between the ages of 7 and 14 years old",49.99,400.0,7-14,Easy
Disney™,Ariel's Royal Celebration Boat,"LEGO® l Disney Ariel’s Royal Celebration Boat has everything you need to play out a happy ending for Disney’s The Little Mermaid’s Ariel and Prince Eric. Dance on the revolving dancefloor under the gazebo, spin Sebastian’s starfish decks, discover secret treasure and launch the colored firework bricks. Get creative using the modular design of this great children's toy to easily move and swap sections within the model, or integrate the gazebo with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus Sebastian and Max figures.
Includes 2 mini-doll figures: Prince Eric and Ariel with her dress and white fabric cape, plus Sebastian the crab and Max the dog figures.
Ariel’s Royal Celebration Boat features a gazebo with revolving dancefloor, ship’s wheel, vanity desk and firework launcher, plus a dock and Sebastian's island with turning starfish decks.
Accessory elements include a cake, glasses, crown, treasure chest, jewel, telescope, Ursula's contract tile, trident, hair bow, bone, firework pieces and a perfume bottle.
Customize this great children's toy by easily swapping and rearranging internal features such as the vanity, cake table and drinks table.
Move and rearrange the gazebo and dock to customize the boat, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate the final wedding scenes from Disney's The Little Mermaid on this ornate boat full of features and secret places.
Help Ariel get ready for new adventures at the vanity desk, then put on her white wedding cape.
Spin Sebastian’s starfish and help Eric and Ariel dance on the revolving dancefloor, then launch the colorful firework pieces as the celebrations continue!
Suitable for ages 6-12.
Ariel’s Royal Celebration Boat measures over 6” (16cm) high, 9” (23cm) long and 4” (11cm) wide.
Sebastian's island measures over 1” (4cm) high, 1” (4cm) wide and 1” (4cm) deep.",49.99,380.0,5-12,Average
Marvel Super Heroes,Corvus Glaive Thresher Attack,"Stage an awesome battle at the Wakandan wall with Vision, Shuri and Black Panther against Corvus Glaive and an Outrider with this LEGO® Marvel Super Heroes 76103 Corvus Glaive Thresher Attack set. The wall features a lever-operated opening gate, tower with rotating, dual stud-shooting turrets, hidden disc shooter, Wakandan lab with flip function and the Infinity Stone element. The bad guys are attacking with a Thresher launcher—hit the right spot on the wall with the Thresher to activate the lab’s flip function. This super hero toy also includes 5 minifigures.
Includes 5 minifigures: Vision, Shuri, Black Panther, Corvus Glaive and an Outrider.
Wakandan wall features a lever-operated opening gate, tower with 2 rotating, dual stud-shooting turrets, hidden disc shooter, hinged wall section, Wakandan lab with minifigure seat, desk and 2 computer screen elements, flip function and the Infinity Stone element.
Also includes a Thresher and Thresher launcher with trigger and jungle camouflage elements.
Aim the Thresher at the wall to activate the lab's flip function.
Weapons include Shuri’s 2 gauntlets and Corvus Glaive’s staff.
The new-for-March-2018 Outrider minifigure has 6 arms.
Attach multiple sets to each other to expand the Wakanda wall.
Recreate thrilling scenes from the Marvel Super Heroes Avengers: Infinity War movie.
Wakandan wall measures over 7” (20cm) high, 9” (25cm) wide and 3” (9cm) deep.
Thresher launcher measures over 1” (5cm) high, 3” (8cm) wide and 4” (12cm) deep.
Thresher measures over 2” (7cm) high, 2” (7cm) long and 1” (4cm) wide.",39.99,416.0,7-14,Average
Disney™,Sleeping Beauty's Fairytale Castle,"LEGO® l Disney Sleeping Beauty’s Fairytale Castle is easy to build and perfect for playing out favorite moments from Disney’s Sleeping Beauty. There’s a bedroom, spinning wheel, vanity and a special birthday cake. Maleficent’s lair adds drama and excitement to the role-play action. Get creative using the modular design of this fun toy to easily move and swap sections within the model, or rearrange the rooms of the castle and integrate them with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus Merryweather and bunny figures.
Includes Aurora and Maleficent mini-doll figures, plus a good fairy and a bunny figure.
Features a modular Fairytale Castle with a balcony, vanity and a bed with hidden storybook tile, plus Maleficent’s lair with throne.
Accessory elements include a magic wand, crown, spinning wheel, hair bow, flowers, cake, mixing bowl, scissors, hairbrush, perfume bottle, basket, carrot, cherries and Maleficent's staff.
Customize the set by easily swapping and rearranging internal features such as the spinning wheel, vanity and cake table.
Move and rearrange the rooms and Maleficent’s lair to create a new castle every time, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate favorite moments from Disney's Sleeping Beauty with iconic details such as the spinning wheel, giant cake and birthday dress decoration.
Create your own stories about life in the castle with this fun toy, and discover a secret storybook tile under Aurora’s bed.
Suitable for ages 6-12.
Sleeping Beauty’s Fairytale Castle measures over 11” (29cm) high, 4” (12cm) wide and 2” (6cm) deep.
Maleficent’s lair measures over 4” (11cm) high, 2” (6cm) wide and 2” (6cm) deep.",39.99,322.0,5-12,Easy
Disney™,Cinderella's Enchanted Evening,"Reenact scenes from the iconic Disney movie, Cinderella, with this easy-to-build model. Play with Cinderella in her house with kitchen and upstairs sleeping area. Then change her into her ball gown and go to the ball in the carriage—and take off the roof for easy play inside with 2 seats for Cinderella and her Fairy Godmother. Includes 2 mini-doll figures, plus 2 figures: a horse and a mouse.
Includes 2 mini-doll figures from Disney’s Cinderella: Cinderella with switchable skirts and the Fairy Godmother, plus 2 animal figures: a horse and a mouse. • Features Cinderella’s Carriage, Cinderella’s house with 2 stories, and a revolving stand for her ball gown. • Cinderella’s Carriage sits 2 mini-doll figures and features a removable roof for easy play inside, opening door and an opening chest. • Cinderella’s house features an opening door and windows, downstairs kitchen area with sink and table, and a sleeping area upstairs. • Accessory elements include an invitation, 2 keys, magic wand, broom, hairbrush, scissors, plate with food and a piece of cheese. • Play and sing all day with Cinderella and her little mouse friend, as they do their chores around the house. • Help the Fairy Godmother transform Cinderella’s rags to a ball gown and show her around her amazing horse-drawn carriage. • Play out your favorite scenes from the movie or create new stories of your own with these much-loved characters. • Cinderella’s carriage measures over 4” (11cm) high, 9” (24cm) long and 2” (7cm) wide. • Cinderella’s house measures over 5” (14 cm) high, 4” (11cm) wide and 1” (5cm) deep.",39.99,350.0,5-12,Average
Disney™,Moana’s Ocean Voyage,"Discover the vibrant world of Disney’s Moana and join her on her epic adventure to bring back the heart of Te Fiti and restore harmony. This beautiful sailboat with opening storage under the deck, and island with transformation function, are perfect for recreating iconic scenes from the movie or creating new stories by the sea. Features a Moana mini-doll, Maui big figure, Heihei and two Kakamora.
Build Disney Princess Moana’s Ocean Voyage canoe with sail, opening deck, and a transforming Island of Te Fiti!
Featured in the award-winning Disney movie: Moana
Includes Moana mini-doll figure, Maui big figure, HeiHei the rooster, two buildable Kakamora pirates, plus a map, a catapult for the Kakamora, and the Heart of Te Fiti
LEGO Disney Princess building toys are compatible with all LEGO construction sets for creative building
Moana's boat measures over 6” high, 5” long and 5” wide, Island of Te Fiti measures over 4” high, 6” long and 1” deep
307 pieces – For boys and girls between the ages of 6 and 12 years old",39.99,307.0,5-12,Easy
Star Wars™,Moloch's Landspeeder™,"Recreate action-filled scenes from the Han Solo movie with this LEGO® Star Wars Moloch’s Landspeeder set. The infamous gang leader’s vehicle features an open minifigure cockpit, storage hold at the rear and hidden wheels for a cool hover effect. This Star Wars toy also has a 6-stud rapid shooter for intense action play, and an opening cage to hold the 2 Corellian Hound figures to add an extra dimension of battling fun for any LEGO Star Wars fan!
Includes Moloch and Rebolt minifigures, plus 2 Corellian Hound figures.
Features an open minifigure cockpit, opening cage for the hounds, rear storage hold, multi-stud shooter and hidden wheels for a hover effect.
Also includes Moloch’s blaster pistol and Rebolt's whip.
Play out epic Han Solo movie chase scenes with 75209 Han Solo's Landspeeder!
This LEGO® Star Wars toy is suitable for ages 8-12.
Measures over 2” (6cm) high, 6” (16cm) long and 4” (11cm) wide.",39.99,464.0,5-12,Easy
