theme_name,set_name,prod_long_desc,list_price,piece_count,ages,review_difficulty
Marvel Super Heroes,Beware the Vulture,"Team up with Spider-Man and Iron Man to catch up with The Shocker’s Van and tackle the Vulture’s attacks in this thrilling LEGO® Marvel Super Heroes Beware the Vulture set. The Shocker’s Van opens up for easy play and includes a mounted, adjustable 6-stud rapid shooter, a buildable rifle and buildable tech egg, while Vulture’s wings have 2 detachable stud shooters. Includes 4 minifigures with assorted weapons and accessory elements such as Spider-Man’s firing Power Blasts.
Build an epic chase scene featuring Spiderman and Iron Man vs. The Vulture and The Shocker!
Featured in the sensational Marvel Studios film Spiderman: Homecoming
Includes minifigures of Spiderman and Iron Man with a van that opens, 6-stud rapid shooter and boosters for Iron Man’s feet and hands
LEGO Marvel Super Hero building toys are compatible with all LEGO construction sets for creative building
Van measures 2 inches high, 5 inches long, and 2 inches wide. The Vulture’s wingspan measures 2 inches high, 7 inches long, and 1 inch wide
375 pieces – for boys and girls between the ages of 7 and 14 years old",39.99,375.0,7-14,Average
Marvel Super Heroes,The Hulkbuster Smash-Up,"Overpower Proxima Midnight and the Outrider with Bruce Banner’s Hulkbuster in this LEGO® Marvel Super Heroes 76104 The Hulkbuster Smash-Up set. The posable Hulkbuster features an opening minifigure cockpit and bashing arm function. This action-packed set also includes a ball-shooting gun turret with an opening rear compartment containing the Infinity Stone element, Falcon's buildable wings with a detachable Redwing drone element and 4 minifigures.
Includes 4 minifigures: Bruce Banner, Falcon, Proxima Midnight and an Outrider.
Hulkbuster features an opening minifigure cockpit, wheel-operated bashing arm function and posable fingers, arms and legs.
Gun turret features a minifigure seat, ball shooter and an opening rear compartment containing the Infinity Stone element.
Includes Proxima Midnight's spear and Falcon's buildable wings with a detachable Redwing drone element.
The new-for-March-2018 Outrider minifigure has 6 arms.
Play out thrilling scenes inspired by the Marvel Super Heroes Avengers: Infinity War movie.
Hulkbuster measures over 5” (14cm) high, 2” (7cm) long and 6” (16cm) wide.
Gun turret measures over 3” (8cm) high, 4” (11cm) wide and 1” (5cm) deep..",29.99,375.0,7-14,Easy
Star Wars™,Yoda's Hut,"Reenact an iconic LEGO® Star Wars training scene at Yoda’s Hut on Dagobah. This feature-packed set includes Yoda’s swamp home with foldout training sections, from where Luke can balance boxes and stand on one arm to demonstrate his fledgling Jedi powers. There's also a Force jump function that can be attached to the front or back of the model. Jump Luke from the roof and swing from the ‘vine' with Yoda on his back. Inside, there's a folding bed, fireplace, a selection of food and furnishing elements, plus a secret compartment under the floor. There’s even a window at the side so R2-D2 can peer in! This feature-laden Star Wars toy includes 2 minifigures.
Includes Yoda and Luke Skywalker minifigures plus an R2-D2 figure.
Features foldout training sections, a detachable Force jump function, rooftop ‘vine’ swing function and a detailed interior including folding bed, fireplace, food and furnishing elements, and a secret underfloor compartment.
Carry Yoda on Luke's back as he trains.
Balance boxes, stand on one arm, pull a cool Force jump and swing from the ‘vine' like a true Jedi!
Weapons include Yoda's staff and Luke's Lightsaber.
Accessory elements include a carrot, frying pan, bottle and a snake.
This LEGO® Star Wars toy is suitable for ages 7-12.
Measures over 4” (11cm) high, 9” (25cm) long and 4” (11cm) wide.",29.99,229.0,5-12,Easy
Marvel Super Heroes,Ayesha's Revenge,"Stage a cosmic battle with this action-packed Guardians of the Galaxy set featuring Ayesha’s Golden Drone spaceship with two stud shooters, and Yondu’s Laser Drill spaceship with a spring-loaded missile, sliding minifigure cockpit and opening side panels. Includes three minifigures and a Groot figure in Ravager costume.
Build the battle on Ego’s planet between Ayesha’s golden drone and the Guardians of the Galaxy’s laser drill spaceship, with spring-launching missile, stud-shooters, and exploding cliff section!
Featured in Guardians of the Galaxy Vol. 2
Includes minifigures of Yondu, Star-Lord and Ayesha, plus Baby Groot figure with Ravager jacket decoration
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
Laser drill is 3” high, 6” long, and 2” wide. Golden drone is 1” high, 2” long, and 3” wide. Planet cliff section is 2” wide, 2” deep, and under 1” high
323 pieces – For boys and girls between the ages of 7 and 14 years old",29.99,323.0,7-14,Average
Star Wars™,Han Solo's Landspeeder™,"Recreate high-speed LEGO® Star Wars action scenes from the Han Solo movie with Han’s Landspeeder. Featuring an open 2-minifigure cockpit, opening hood with storage compartment, removable engine, rear storage compartment with secret cargo, hidden wheels for a hover effect and 2 spring-loaded shooters, this action-packed Star Wars toy also includes a Corellian Hound figure for Han and Qi'ra to battle.
Includes Han Solo and Qi’ra minifigures, plus a Corellian Hound figure.
Features an open 2-minifigure cockpit, opening hood with ammo and accessory storage, removable engine, rear storage compartment with secret cargo, hidden wheels for a hover effect, and 2 spring-loaded shooters.
Remove the engine for a much-needed overhaul.
Also includes 2 blaster pistols.
Play out epic Han Solo movie chase scenes with 75210 Moloch's Landspeeder!
This LEGO® Star Wars toy is suitable for ages 7-12.
Measures over 1” (5cm) high, 6” (16cm) long and 3” (10cm) wide.",29.99,345.0,5-12,Easy
Disney™,Ariel and the Magical Spell,"Slide back the glass door and step inside Disney Princess™ Ariel’s Cave. Swim over to Ursula’s grotto and place Ariel at the revolving stand to reveal her human legs. This set is easy to build and perfect for fans of Disney’s The Little Mermaid to reenact their favorite scenes or create new stories of their own. Includes 2 mini-doll figures plus a Flounder figure.
Build the LEGO Disney Ariel’s cave featuring a sliding door, a treasure chest, and even a hideout for Flounder!
Featured in the critically acclaimed Walt Disney Studio’s classic: The Little Mermaid
Includes Ariel with switchable mermaid tail or legs and Ursula mini-doll figures
LEGO Disney Princess building toys are compatible with all LEGO construction sets for creative building
Ariel’s cave measures 5 inches high, 5 inches wide and 3 inches deep. Ursula’s grotto measures 3 inches high, 3 inches wide and 3 inches deep.
222 pieces – For girls and boys between the ages of 5 and 12 years old",29.99,222.0,5-12,Average
Disney™,Anna & Kristoff’s Sleigh Adventure,"Enter the world of Disney Frozen on an exciting sleigh ride with Anna and Kristoff. Whether you're traveling through the snow or shopping for winter supplies at Wandering Oaken's Trading Post, Kristoff's sleigh allows you to reenact memorable scenes from the film and create new stories of your own. Includes Anna and Kristoff mini-doll figures plus Sven the reindeer.
LEGO Disney Frozen building toys are compatible with all LEGO construction sets for creative building
Sleigh measures over 2” high, 6” long and 2” wide. Wandering Oaken's Trading Post measures over 3” high, 3” wide and 1” deep. Barn fascia measures over 2” high, 3” wide and 1” deep.
174 pieces – For boys and girls between the ages of 5 and 12 years old",29.99,174.0,5-12,Easy
Marvel Super Heroes,Royal Talon Fighter Attack,"Help Black Panther and Nakia win the ultimate battle against super villain Killmonger and Ulysses Klaue, with this awesome LEGO® Marvel Super Heroes Royal Talon Fighter Attack set. The Royal Talon Fighter features an opening minifigure cockpit, 2 stud shooters and a rear prison compartment to trap a minifigure. The set also includes 4 minifigures with weapons to intensify the role-play conflict.
Includes 4 minifigures: Black Panther, Nakia, Killmonger and Ulysses Klaue.
The ancient mask-shaped Royal Talon Fighter features an opening minifigure cockpit, rear prison compartment to trap a minifigure and 2 stud shooters.
Weapons include Nakia's 2 disc blades, Killmonger's flick missile shooter and Ulysses Klaue's ultrasonic robotic hand.
Also includes Killmonger's mask element.
Recreate epic moments from the Marvel Super Heroes Black Panther movie.
Royal Talon Fighter measures over 2” (7cm) high, 8” (21cm) long and 6” (16cm) wide.",29.99,358.0,7-14,Average
Marvel Super Heroes,Iron Man: Detroit Steel Strikes,"Help Iron Man rescue Agent Coulson from Justin Hammer in his highly posable Detroit Steel weaponized mech with minifigure cockpit, arm-mounted chainsaw and 6-stud shooter. Agent Coulson’s classic car features foldable wheels for high-flying role-play adventures. Includes 3 minifigures.
Includes 3 minifigures: Invincible Iron Man, Agent Coulson and Justin Hammer.
Detroit Steel mech features a minifigure cockpit, fully posable legs, arms and hands, 2 movable wings, arm-mounted chainsaw and a 6-stud shooter.
Agent Coulson’s car Lola features 2 opening doors and folding wheels for flight mode.
Attach the Power Blast elements to Iron Man's hands, then push inwards to fire!
Fold Lola's wheels for flying mode and make a quick escape.
Weapons include Agent Coulson's gun and new-for-spring-2017 Power Blast weapons.
Also includes 3 translucent-blue thruster accessory elements.
This set offers an age-appropriate build and play experience for ages 7-14.
Detroit Steel stands over 5” (14cm) tall.
Lola measures over 1” (4cm) high, 5” (14cm) long and 2” (6cm) wide.",29.99,377.0,7-14,Easy
Marvel Super Heroes,Doctor Strange's Sanctum Sanctorum,"Stage a mysterious battle at Doctor Strange’s Sanctum Sanctorum, featuring a portal beast with moving tentacles, eyes and teeth. Use the levitating function levers to hover the Super Heroes around the house. Attach the cape of levitation to Doctor Strange and fly him towards the portal beast to use the mystical artifacts in battle. Trap a minifigure in the tentacles and stage a heroic rescue. Includes 3 minifigures.
Includes 3 minifigures: Doctor Strange, Karl Mordo and The Ancient One.
Doctor Strange's Sanctum Sanctorum features a portal beast with rotating teeth, moving eyes and tentacles that can trap minifigures, shelves for mystical artifact accessories, levitation effect for 2 minifigures, and levitation function for Doctor Strange's cloak.
Weapons include Karl Mordo's quarterstaff and The Ancient One's magical fans with eldritch calligraphy.
Accessory elements include Doctor Strange's cloak of levitation and magical power elements with eldritch calligraphy markings.
This set offers an age-appropriate building experience for ages 7-14.
Sanctum Sanctorum measures over 4” (11cm) high, 12” (31cm) wide and 7” (18cm) deep.",29.99,358.0,7-14,Average
Marvel Super Heroes,Tanker Truck Takedown,"Launch Captain America and Hawkeye against Spider-Man and Vision at the airport. Create an explosion effect by twisting the truck’s wheel cog to pop up the flames. Use the Super Jumper to launch Spider-Man at the burning truck and put out the fire, push the wind sock to trigger the exploding barrel function, and jump Hawkeye over the flame elements on his motorbike. Combine this set with 76051 Super Hero Airport Battle for an even bigger clash. Includes 4 minifigures.
Includes 4 minifigures: Captain America, Spider-Man, Hawkeye and Vision.
Features a tanker truck with detachable container and exploding function, wind sock with exploding barrels function and Hawkeye's motorbike.
Twist the tanker truck's wheel cog to open the fuel container and create an explosion effect with flames bursting out.
Activate the Super Jumper to launch Spider-Man at the exploding fuel container, or hit the wind sock to trigger the exploding barrel effect.
Also includes Hawkeye's bow and arrow element.
Accessory elements include Captain America's shield, Spider-Man's web blast, Vision's cape, 2 flames, fire extinguisher and a Super Jumper.
This set offers an age-appropriate building experience for ages 6-12.
Combine with 76051 Super Hero Airport Battle to stage an even bigger encounter.
Tanker truck measures over 2” (7cm) high, 9” (25cm) long and 2” (7cm) wide.
Motorbike measures over 2” (6cm) long, 1” (3cm) high and under 1” (2cm) wide.
Wind sock measures over 5” (14cm) high, 1” (3cm) wide and 1” (5cm) deep.",29.99,330.0,5-12,Easy
Star Wars™,Range Trooper™,"Take on any adversary with this highly posable LEGO® Star Wars Range Trooper buildable figure. This powerful character from the blockbuster Han Solo movie features tough armor and ‘magnetic boot’ detailing, furry shoulder cloak and tunic, as well as a blaster weapon with spring-loaded shooter. Star Wars fans will love battling with this cool LEGO buildable figure.
Highly posable Range Trooper buildable figure features tough armor and ‘magnetic boot’ detailing, furry shoulder cloak and tunic, plus a blaster weapon with spring-loaded shooter.
Engage the enemy with the powerful spring-loaded shooter.
Move the limbs into any battle pose.
Sturdy and durable design for intense action play.
Play out exciting adventures from the Han Solo movie.
This buildable figure is suitable for ages 8-14.
Stands over 9” (24cm) tall.",24.99,101.0,7-14,Easy
Disney™,Moana’s Island Adventure,"Explore the beautiful world of Disney’s Moana with Moana’s Island Adventure. Recreate memorable scenes from the movie as Moana learns about the legends of her ancestors, finds the heart of Te Fiti and plays the drums in the cave. Then create new adventures of your own, living out island life in and around her house with Pua her pet pig. Includes a Moana mini-doll, plus Pua the pig.
LEGO Disney Moana building toys are compatible with all LEGO construction sets for creative building
Moana’s house measures over 5” high, 9” wide and 3” deep. Cave area with waterfall measures over 3” high, 4” wide and 1” deep
205 pieces – For boys and girls between the ages of 5 and 12 years old",24.99,205.0,5-12,Challenging
Marvel Super Heroes,Captain America Jet Pursuit,"Ms. Marvel is on a mission to help retrieve Captain America’s shield from Super-Adaptoid, who is shooting back with his Power Blasts. Use her super-extending arms to attach her to the jet, which features movable wings for flying and attack modes, a minifigure cockpit with space for a shield, and dual disc shooters. Includes three minifigures.
Includes three minifigures: Pilot Captain America, Ms. Marvel and Super-Adaptoid.
Captain America's jet features sweep back wings, dual disc shooters and a minifigure cockpit with shield holder and Captain America logo.
Attach the Power Blast elements to Super-Adaptoid's hands, then push inwards to fire!
Extend Ms. Marvel's flexible arms on either side by sliding them through the super torso.
Push a trigger in the aircraft's tail forward to switch from flying mode into attack mode ,then fire the dual disc shooters at Super-Adaptoid.
Also includes new-for-spring-2017 Power Blast weapons.
Accessory elements include three translucent-blue thrusters, Captain America's shield, Super-Adaptoid's wings, Ms. Marvel's big hands and four shooting discs.
This set offers an age-appropriate build and play experience for ages 6-12.
Captain America's jet measures over 1” (5cm) high, 7” (20cm) long and 7” (18cm) wide with wings swept back.
Captain America's jet with wings extended measures over 1” (5cm) high, 7” (20cm) long and 7” (20cm) wide with wings swept forward.",19.99,160.0,5-12,Easy
Disney™,Palace Pets Royal Castle,"With LEGO® Disney Whisker Haven Tales with the Palace Pets™ you can play with and care for these beloved royal pets within the much-loved Disney Princess environment. Whisker Haven is a magical land where the pets can meet and play together. Build the Palace Pets Royal Castle with its golden roof and customizable towers, then throw a royal ball with your own touch of fairytale magic.
Includes Dreamy (Princess Aurora's cat) and Windflower (Pocahontas' raccoon).
Palace Pets Royal Castle features a 2-story building with a golden roof, 2 towers, dining area, music room, revolving dance floor and a garden lookout.
Prepare the castle for a grand ball and lay out the delicious cake.
Put on a show in the music room then party on the revolving dance floor!
Place each Palace Pet in its own special spot for a good night's sleep.
Palace Pets Royal Castle measures over 6” (16cm) high, 5” (13cm) wide and 5” (13cm) deep.
The towers of Palace Pets Royal Castle are interchangeable with special parts of 41069 Treasure's Day at the Pool, 41140 Daisy's Beauty Salon and 41141 Pumpkin's Royal Carriage for a customizable Palace Pets play experience.",19.99,186.0,5-12,Easy
Marvel Super Heroes,ATM Heist Battle,"Help Spider-Man to stop the masked robbers burglarizing the bank in this action-packed LEGO® Marvel Super Heroes ATM Heist Battle set. The bank opens out for easy play and features an exploding window function, a removable ATM and an ATM with an explode function to send LEGO cash elements flying everywhere. The 2 robbers are equipped with a stud-shooting ATM Buster and a gun with hybrid-tech chain to drag the removable ATM away, plus a getaway bike. Attach and fire Spider-Man’s Power Blast weapons to take down the villains. Includes 3 minifigures.
Includes 3 minifigures: Spider-Man and 2 masked robbers.
The bank opens out for easy play and features an opening front door, exploding window function, 2 ATMs—one removable and one with cash-launching explode function and 6 LEGO® cash elements, connection points for Spider-Man to climb the walls, spider web and a fire hydrant outside.
Includes a getaway bike with a minifigure seat.
Also includes the robbers’ buildable hybrid-tech ATM Buster with stud-shooting function.
Weapons include Spider-Man’s 3 Power Blasts and the robbers’ gun with hybrid-tech chain to drag the ATM away.
Attach the Power Blast elements to Spider-Man’s hands and push inwards to fire!
The crook minifigures each have face mask decoration—of Hulk and Captain America.
Bank measures over 3” (9cm) high, 3” (9cm) wide and 3” (9cm) deep, and over 3” (9cm) high, 7” (19cm) wide and 1” (4cm) deep when opened out.
Getaway bike measures over 1” (3cm) high, 2” (6cm) long and under 1” (2cm) wide.",19.99,185.0,5-12,Easy
Marvel Super Heroes,Rhino Face-Off by the Mine,"Team up with Black Panther and Okoye in a Rhino Face-Off by the Mine against masked super villain Killmonger. This LEGO® Marvel Super Heroes set features a posable rhino figure with stud shooters and a rail track with moving mining cart. Tip the mining cart or activate the rail track's explode function to knock over the cart and spill the vibranium. This exciting set includes 3 minifigures.
Includes 3 minifigures: Black Panther, Okoye and Killmonger.
Rhino features a minifigure seat, posable head and legs, rhino horn elements and 2 stud shooters.
Mining cart features a tipping function and translucent-blue vibranium nugget elements.
Activate the rail track's explode function to knock over the cart.
Also includes Okoye's spear.
Recreate epic moments from the Marvel Super Heroes Black Panther movie.
Rhino measures over 3” (8cm) high, 5” (15cm) long and 2” (6cm) wide.
Mining cart measures over 1” (4cm) high, 3” (9cm) long and 1” (3cm) wide.
Rail track measures over 1” (3cm) high, 1” (4cm) wide and 7” (18cm) deep.",19.99,229.0,5-12,Easy
Marvel Super Heroes,Ravager Attack,"Stage a forest face-off between Taserface in his M-ship, featuring four stud shooters and a minifigure cockpit, and Rocket and Mantis, who are hiding in the forest setting featuring a buildable tree with branch elements. Help the two Guardians of the Galaxy build the six-stud shooter, then fire at the approaching M-ship and work as a team to fend off the Ravagers. Includes three minifigures.
Includes three minifigures: Mantis, Rocket and Taserface.
Features a forest setting with buildable tree and six-stud shooter, plus an M-ship with a minifigure cockpit and four stud shooters.
Weapons include Taserface’s big gun and Rocket’s two guns.
M-ship measures over 1” (5cm) high, 4” (11cm) long and 6” (17cm) wide.
Tree measures over 3” (8cm) high, 4” (12cm) wide and 3” (8cm) deep.",19.99,197.0,5-12,Easy
Disney™,Anna's Snow Adventure,"Enter the world of Disney Frozen and join Anna as she takes a break on her journey to visit her sister. With a feeding station for her horse and a campfire to make hot chocolate, they have everything they need to rest and refuel. The sleeping shelter has an opening function for easy play inside. Includes an Anna mini-doll, plus her horse.
Includes an Anna mini-doll figure in coronation outfit, plus her horse.
Features a shelter with an opening roof and a bed, a horse feeding station with hay bales to sit on, and a campfire.
Feed the horse, enjoy the campfire and make some hot chocolate.
Get a good night's sleep, then put the saddle on Anna's horse and continue your adventures!
Accessory elements include a map, chocolate and a cup.
This set offers an age-appropriate build and play experience for ages 5-12.
Shelter measures over 2” (7cm) high, 3” (10cm) wide and 3” (8cm) deep.
Horse feeding station measures over 3” (8cm) high, 3” (8cm) wide and 1” (3cm) deep.",19.99,153.0,5-12,Easy
Marvel Super Heroes,Thor's Weapon Quest,"Join Thor, Rocket and Groot on a thrilling Avengers mission with LEGO® Marvel Super Heroes 76102 Thor’s Weapon Quest. This super hero toy features an Escape Pod with an opening cockpit for 3 minifigures and 2 stud shooters, plus a space station with a cosmic power source, weapon and features, the Infinity Stone element and stand, 3 minifigures and 10 Power Burst elements.
Includes 3 minifigures: Thor, Rocket and Groot (new-for-March-2018 teenage version).
Escape Pod features an opening cockpit, detachable roof and 2 stud shooters.
Open the cockpit’s front and rear windshields and lift off the roof to place all 3 minfigures inside.
Space station features a cosmic power source, 2 energy coils, weapon reveal function, and the Infinity Stone element and stand.
Includes Rocket's gun and Groot's extended vine arm element.
Also includes 10 assorted translucent-blue Power Burst elements to customize your builds and minifigures.
Escape Pod can be connected to The Guardians’ Ship in 76107 Thanos: Ultimate Battle.
Recreate thrilling scenes from the Marvel Super Heroes Avengers: Infinity War movie.
Escape Pod measures over 2” (7cm) high, 5” (13cm) long and 4” (11cm) wide.
Space station measures over 1” (5cm) high, 2” (7cm) wide and 3” (8cm) deep.",19.99,223.0,5-12,Easy
Marvel Super Heroes,Outrider Dropship Attack,"Join Captain America and Black Widow’s battle to repel the Outriders and save Wakanda with this action-packed LEGO® Marvel Super Heroes 76101 Outrider Dropship Attack set!
Includes 4 minifigures: Captain America, Black Widow and 2 Outriders.
Dropship features an opening dual minifigure cockpit with the Infinity Stone element on a stand, foldout sides and 2 stud shooters.
Weapons include Captain America’s 2 Wakandan Shields and Black Widow's 2 batons.
The new-for-March-2018 Outrider minifigures each have 6 arms.
Recreate thrilling scenes from the Marvel Super Heroes Avengers: Infinity War movie.
Dropship measures over 4” (12cm) high, 2” (7cm) long and 2” (6cm) wide, and 1” (4cm) high, 7” (19cm) long and 9” (23cm) with sides folded out.",14.99,124.0,5-12,Easy
Star Wars™,Imperial Patrol Battle Pack,"Play out Imperial law-enforcing scenarios with this imposing LEGO® Star Wars Imperial Patrol Battle Pack. Featuring a speeder with stud shooters, an Emigration Officer, Recruitment Officer and 2 Imperial Patrol Troopers, this Star Wars toy has everything your budding Imperial officer needs to keep their Star Wars minifigure collection under control!
Includes 4 minifigures: an Imperial Recruitment Officer, Imperial Emigration Officer and 2 Imperial Patrol Troopers.
Features a speeder with a minifigure seat and 2 stud shooters.
Also includes 4 stud blasters for the minifigures.
This LEGO® Star Wars toy is suitable for ages 6-12.
Speeder measures over 1” (3cm) high, 5” (13cm) long and 1” (5cm) wide.",14.99,99.0,5-12,Easy
Star Wars™,Jedi™ and Clone Troopers™ Battle Pack,"Command your own LEGO® Star Wars Jedi & Clone Trooper squad with this fun battle pack, featuring 2 Lightsaber-wielding Jedi warriors, 2 Clone Troopers with stud blasters and a speeder with stud shooters and rotating wingtip guns.
Includes 4 minifigures: Ki-Adi Mundi, Barriss Offee and 2 Clone Troopers.
Features a speeder with opening canopy and space for a Clone Trooper inside, 2 stud shooters and rotating guns on the wingtips.
Weapons include 2 stud blasters for the Clone Troopers and 2 Lightsabers.
This LEGO® Star Wars toy is suitable for ages 6-12.
Speeder measures over 1” (5cm) high, 3” (10cm) long and 4” (12cm) wide.",14.99,102.0,5-12,Easy
Disney™,Mulan's Training Day,"LEGO® l Disney Mulan’s Training Day is easy to build and perfect for recreating favorite moments from the movie. Train hard using the turning training dummy, and sword and catapult with boulders, before taking a break with her foal, Khan. This LEGO® l Disney toy for girls and boys includes lots of beautiful and authentic details, including Mulan's yellow dress, her fan and a tea ceremony. Get creative using the modular design to easily move and swap sections within the model, or integrate the family temple with other compatible LEGO l Disney sets to build your own dream creations. Includes a mini-doll figure plus a horse figure.
Includes a Mulan mini-doll figure, plus Khan the horse figure.
Features a family temple, turning training dummy, catapult, tea ceremony and a cherry blossom tree.
Accessory elements include a sword, boulders, fan, teapot and a teacup.
Customize the set by easily swapping and rearranging internal features such as the tea ceremony, catapult and cherry blossom tree.
Combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Take aim at the training dummy with the catapult, and use the turn function to make it spin as Mulan practices her sword skills.
Help Mulan perform a tea ceremony and cool her down with the cute fan.
This toy for girls and boys is suitable for ages 5-12.
Family Temple measures over 4” (12cm) high, 2” (6cm) wide and 2” (6cm) deep.",14.99,104.0,5-12,Average
Marvel Super Heroes,Iron Man vs. Ultron,"Team up with Iron Man MK45 to take on the Ultron army in an ultimate battle! Defend against aerial attacks from the Ultron vehicle piloted by the Ultron Sentry Officer. Take cover as Ultron Sentries leap from the back of the vehicle and fire their stud shooters. Then activate Iron Man’s Super Jumper to topple the Ultron Sentry Officer and bring the vehicle crashing to the ground! Includes 4 minifigures with assorted weapons and accessories: Ultron Sentry Officer, 2 Ultron Sentries and Iron Man MK45.
Includes 4 minifigures with assorted weapons and accessories: Ultron Sentry Officer, 2 Ultron Sentries and Iron Man MK45
Ultron vehicle features 2 antennas, adjustable wings and attachment points for Ultron Sentries
Weapons include 2 stud shooters
Accessories include Iron Man’s iconic helmet, thrusters and Super Jumper (new for spring 2015), and the Ultron Sentries’ thrusters
Take on the Ultron army with Iron Man MK45
Dodge the Ultron Sentries’ stud shooters
Topple the Ultron SentryOfficer with super-jumping Iron Man!
Ultron vehicle measures over 5” (8cm) high, 3” (10cm) long and 3” (10cm) wide",12.99,92.0,5-12,Easy
Marvel Super Heroes,Mighty Micros: Spider-Man vs. Scorpion,"Role-play a daring duel between Spider-Man and his venomous enemy Scorpion. Scorpion’s Mighty Micros car features movable pincers and tail with sting, while Spider-Man’s blue and red buggy features exhaust pipes. The super villain also has a mini-scorpion to match Spider-Man’s mini-spider. Includes two minifigures with mini legs.
Includes Spider-Man and Scorpion minifigures with mini legs.
Move the tail and pincers of Scorpion’s Mighty Micros car and attack Spider-Man!
Scorpion’s Mighty Micros car features dual pincers and a tail with sting.
Accessory elements include a mini-scorpion and a mini-spider.
This set offers an age-appropriate build and play experience for ages 5-12.
Spider-Man's Mighty Micros car measures over 1” (3cm) high, 1” (5cm) long and 1” (4cm) wide.
Scorpion's Mighty Micros car withclaws retracted measures over 2” (6cm) high, 1” (5cm) long and 1” (5cm) wide.",9.99,79.0,5-12,Easy
Disney™,Castle Interior Kit,"Make your castle fit for a princess with this LEGO® l Disney Castle Interior Kit, featuring small, buildable castle furniture and household items, assorted decorative accessory elements, a fabric rug and blanket, plus decorative stickers. Rebuild the furniture to make alternative items using the pictures for inspiration. Use this kit to customize your LEGO® l Disney building toys and inspire even more role-play fun.
Features small, buildable castle furniture and household items, assorted decorative accessory elements, a fabric rug and blanket, plus a sheet of decorative stickers.
Rebuild the furniture to create alternative items.
Transform the interiors of your existing LEGO® l Disney models.
Combine with the 40388 Mini-Doll Dress-Up Kit to create even more play possibilities for your LEGO® l Disney sets.",9.99,115.0,6+,Easy
Disney™,Mini-Doll Dress-Up Kit,"Kit out your mini-doll figures in Disney Princess style with the LEGO® l Disney Mini-Doll Dress-Up Kit, featuring a buildable sewing machine, dressing table, vanity table with chair and a clothes rack, plus assorted accessory elements. Use this kit to customize your LEGO® l Disney sets and inspire even more role-play fun.
Features various small builds including a sewing studio with buildable sewing machine, dressing table, vanity table with chair, clothes rack, 4 fabric capes and a fabric skirt to fit a mini-doll (not included), plus assorted accessory elements.
The perfect addition to your LEGO® l Disney play sets.
Combine with the 40307 Castle Interior Kit to create even more play possibilities for your LEGO® l Disney sets.",9.99,80.0,6+,Easy
Marvel Super Heroes,Mighty Micros: Wolverine vs. Magneto,"Stage a mutant-powered battle between Wolverine and Magneto. Wolverine has long claws and a Mighty Micros jet featuring extendable wings to help him escape being pulled in by Magneto’s magnet-shaped car and magnetic powers. Includes 2 minifigures with mini legs.
Includes Wolverine and Magneto minifigures with mini legs.
Wolverine’s Mighty Micros jet features 4 movable wings.
Magneto’s Mighty Micros car features a classic magnet shape at the rear.
Use Wolverine’s claws to swipe at Magneto.
Accessory elements include Magneto's decorated-translucent magnetic power.
This set offers an age-appropriate build and play experience for ages 5-12.
Wolverine's Mighty Micros jet with wings folded in measures over 1” (3cm) high, 1” (5cm) long and 1” (4cm) wide.
Magneto’s Mighty Micros car measures over 1” (3cm) high, 1” (5cm) long and 1” (4cm) wide.",9.99,85.0,5-12,Easy
Marvel Super Heroes,Mighty Micros: Iron Man vs. Thanos,"Play out a fun Mighty Micros battle between two powerful rivals. Iron Man’s car features rear rocket thrusters for fast-play action and includes a wrench to dismantle his enemy’s car. Thanos’ Mighty Micros car features five Infinity gem elements and movable front fingers that resemble the Infinity Gauntlet. Includes two minifigures with mini legs.
Includes Iron Man and Thanos minifigures with mini legs.
Thanos’ Mighty Micros car features five movable fingers and five Infinity gem elements.
Iron Man’s Mighty Micros car features dual rear rocket thrusters.
Use Iron Man’s wrench to dismantle Thanos' Infinity Gauntlet-style car!
Accessory elements include Iron Man's wrench and boosters, and Thanos' Infinity Gauntlet.
This set offers an age-appropriate build and play experience for ages 5-12.
Iron Man's Mighty Micros car measures over 1” (3cm) high, 1” (5cm) long and 1” (4cm) wide.
Thanos’ Mighty Micros car measures over 1” (3cm) high, 1” (5cm) long and 1” (5cm) wide.",9.99,94.0,5-12,Easy
Marvel Super Heroes,Mighty Micros: Thor vs. Loki,"Stage a sibling showdown with this fun LEGO® Marvel Super Heroes Mighty Micros: Thor vs. Loki set, featuring Thor’s Mighty Micros car with adjustable wing elements and Loki’s Mighty Micros car with Viking horn elements. Loki is equipped with a scepter and Thor has his iconic Mjölnir hammer to add to the role-play action. This fun superhero toy for kids includes 2 minifigures with mini legs.
Includes Thor and Loki minifigures with mini legs.
Thor’s Mighty Micros car features 2 adjustable wing elements.
Loki’s Mighty Micros car features 2 silver-colored Viking horn elements.
Weapons include Thor’s Mjölnir hammer and Loki’s scepter.
Accessory elements includes Thor's cape and Loki's helmet.
Multiple Mighty Micros sets to collect, including 76089 Mighty Micros: Scarlet Spider vs. Sandman and 76090 Mighty Micros: Star-Lord vs. Nebula for even more battle fun.
This fun superhero toy for kids is suitable for ages 5-12.
Thor’s car measures over 1” (4cm) high, 2” (6cm) long and 2” (6cm) wide.
Loki’s car measures over 1” (5cm) high, 2” (6cm) long and 1” (4cm) wide.",9.99,79.0,5-12,Easy
